Company name;Org. no;Closure year;Currency;Num. of employees, stock company (pcs);EBITDA (k);Working capital (k);Distributable earnings (k);Turnover change (%);Changes in staff (%);Return on equity (%);Return on total assets (%);Liability interest (%);Risk buffer total assets (k);Return on Captial Employed (RoCE) (%)
Landrins Bil AB;5560775776;201912;SEK;260;62 815;157 221;83 897;3,24;38,3;45,5;17,5;1,9;15,6;47,11
P. CHRISTENSEN A/S;80493215;201912;DKK;200;31 365;54 348;77 254;51,23;0;0,99;2,44;3,63;0;4,22
Admenta Sweden AB;5567854913;201903;SEK;470;-25 395;82;80 707;6,82;0,43;-76,8;-14,5;0,2;-14,7;-75,84
F. Holmströmgruppen AB;5566963590;201912;SEK;110;734 000;282 000;2 132 000;-24,17;27,91;30,4;10,9;4,7;6,1;18,42
ProfilGruppen AB;5562778943;201912;SEK;466;162 300;69 500;332 200;0,23;1,53;25,6;10,4;1,7;8,7;18,1
Swedia Capital AB;5591681092;201912;SEK;379;117 474;204 919;1 414 884;273,51;-1,56;10,4;11,7;16,1;-4,4;12,09
Aktiebolaget Sven Heribert;5568778426;201912;SEK;399;62 117;182 498;241 808;24,27;1,79;28;9,9;0,7;9,2;16,99
Leröy Sverige Aktiebolag;5564671377;201912;SEK;300;-8 984;24 578;102 119;-0,26;2,39;-31,2;-6,9;0,8;-7,7;-12,93
Aimo Park Sweden AB;5565535548;202003;SEK;352;166 990;18 074;106 636;0;0;92,4;31,6;0,3;31,2;111,1
H.J. HANSEN GENVINDINGSINDUSTRI A/S;24336212;201909;DKK;100;1 312;9 305;25 502;-5,46;0;-2,6;0,36;6,51;0;3,64
Borås Bil Förvaltning AB;5567893531;201912;SEK;225;53 534;177 704;265 917;-3,99;-2,6;10,2;4,3;1,4;2,9;6,42
Plantagen Sverige AB;5566103015;201912;SEK;437;-5 256;-94 543;12 297;8,31;-8,58;-374,4;-12,9;2,4;-15,3;-225,81
DHL GLOBAL FORWARDING (DENMARK) A/S;16474606;201912;DKK;200;8 498;15 339;12 447;6,25;0;-14,89;-3,17;5,62;0;-22,66
Sveab Holding AB;5567798912;201912;SEK;354;80 211;64 726;153 216;3,55;-1,12;30,8;8,3;1,4;6,9;30,13
Big Travel Sweden AB;5562602838;201904;SEK;157;7 033;20 572;34 272;3,38;-14,67;6,8;1,4;0,4;1;8,23
Mediq Sverige AB;5562522317;201912;SEK;199;1 645;63 229;103 823;-4,78;-6,57;-5;0,7;4,3;-3,6;1,88
Home Furnishing Nordic AB;5567809685;201912;SEK;202;105 740;26 570;37 049;9,78;15,43;97,1;20,9;0,5;20,4;109,28
Lecabgruppen Aktiebolag;5560809237;201912;SEK;266;96 432;119 907;364 579;7,98;2,7;22;8,5;1,1;7,4;10,28
TravelCo Nordic A/S;21148180;201912;DKK;100;-96 113;-227 607;-399 316;-0,27;0;167,23;-54,58;-1,82;0;68,24
Skellefteå Bil Holding AB;5568542517;201912;SEK;309;85 748;170 535;216 303;11,89;-2,22;36,7;12;1,4;10,7;19,86
Ejendals Group AB;5590918040;201912;SEK;321;224 793;740 026;219 537;1,86;-2,13;29,9;17,9;1,2;16,7;28,36
Actia Nordic AB;5563507028;201912;SEK;123;101 415;37 886;-5 516;21,79;12,84;41,6;16,6;1,4;15,2;53,07
Kuehne & Nagel AB;5561745752;201912;SEK;297;24 075;2 443;4 880;-8,63;-10,81;406;10,6;1,3;9,3;461,17
Eurocash Food AB;5565036141;201912;SEK;221;107 736;64 373;80 889;8,07;0,91;76,3;31,5;0,2;31,3;113,61
Jollyroom Group AB;5568065568;201912;SEK;343;-4 769;62 634;19 324;-0,51;-11,14;-61,2;-4,7;1,8;-6,5;-8,3
HUMAC A/S;13397597;201909;DKK;200;3 371;-13 207;-1 476;99,05;0;-40,82;-0,53;6,59;0;-10,39
PROSHOP ApS;18966239;201912;DKK;100;33 601;19 667;32 417;28,93;0;47,89;10,6;3,96;0;44,97
Schenker Dedicated Services AB;5563084663;201912;SEK;115;66 102;116 418;88 040;10,79;9,52;58,5;17,4;0,2;17,1;74,31
Luftfartsselskabet af 21. juli 2020 A/S;29424225;201908;DKK;200;44 306;-29 228;-256 901;27,69;0;17,42;9,34;-0,86;0;-14,29
Procurator Sverige AB;5560576554;201912;SEK;142;34 365;60 122;40 900;7,09;-5,96;53,9;10,9;0,7;10,2;59,56
Nelly NLY AB;5566538822;201912;SEK;193;9 133;23 491;58 184;5,35;5,46;-6,5;-0,8;0,4;-1,2;-4,6
HORNI HOLDING AS;989213121;201912;NOK;462;69 504;213 915;120 654;9,87;0;21,69;7,94;56,07;1,75;12,3
Upplands Motor Stockholm AB;5590823851;201912;SEK;259;28 272;14 761;7 420;-0,33;55,09;-38,5;0,1;0,9;-0,8;0,41
ETI Investments AB;5567513774;201912;SEK;203;55 562;1 316 638;1 288 204;-26,95;3,05;2,9;3,8;8,3;-4,4;4,41
m4 gruppen Aktiebolag;5567878318;201912;SEK;266;61 132;74 548;15 385;-2,81;-6,34;14,5;3,4;1,1;2,2;5,19
Bil AB Josef Engström;5564895992;201912;SEK;314;53 157;67 097;189 117;5,26;-0,32;18,9;6,1;1,2;4,9;9,73
Active Invest-Sweden AB;5566243886;201912;SEK;378;91 570;42 460;254 632;-1,39;-14,48;12,2;4,3;1,3;3;5,99
HMB Construction AB;5564830957;201912;SEK;0;0;0;0;-100;-100;0;0;0;0;-
PGS Group AB;5563018745;201912;SEK;396;175 288;725 779;1 742 743;23,72;10;57,1;46,2;1,4;44,8;6,4
Helmia Bil Aktiebolag;5560563941;201912;SEK;245;66 081;223 958;143 775;2,85;2,51;29,5;19,5;0,1;19,4;45,21
Åhlin & Ekeroth AB;5569767568;201912;SEK;440;84 089;29 407;53 371;14,53;4,76;95,9;17,2;0,2;17;77,05
Åhlin & Ekeroth Byggnads AB;5566847926;201912;SEK;440;75 889;115 780;24 398;54,77;53,31;66,3;18;0,1;17,8;261,5
Mio Försäljning AB;5563458719;201904;SEK;366;75 167;65 068;109 085;2,13;14,73;51,8;23,8;0;23,8;55,05
NOBIA DENMARK RETAIL A/S;15277092;201912;DKK;200;113 925;123 237;68 364;0,59;0;63,34;36,27;0,83;0;64,38
DANSK BOLIGBYG A/S;20625430;202003;DKK;100;11 284;133 231;101 019;-12,85;0;6,81;2,61;3,33;0;7,88
Berners Person - och Transportbilar AB;5560266008;201912;SEK;270;19 143;10 569;59 907;-0,37;3,85;22,2;6,4;1,3;5;28,75
Gärahovs Bygg Aktiebolag;5565040036;201912;SEK;131;37 964;114 323;114 611;-10,55;8,26;26,5;10,5;1,3;9,2;27,68
engcon Holding AB;5566471727;201912;SEK;295;214 055;329 319;421 170;12,68;10,49;47,6;29,7;1,3;28,5;40,77
JAN NYGAARD A/S;17858092;201912;DKK;200;34 737;35 599;95 031;19,26;0;30,9;12,63;2,06;0;34,61
Skövde Slakteri Aktiebolag;5563258952;201912;SEK;134;26 025;19 239;69 757;-3,08;-2,19;4,6;2,5;1,3;1,2;4,98
SILJAN Group AB;5560211830;201912;SEK;214;61 189;-51 962;151 576;1;-1,38;-20,8;-3,1;3,4;-6,5;-7,9
Ernst Rosén Förvaltning Aktiebolag;5563808327;201912;SEK;166;296 914;-705 948;652 728;27,87;-0,6;23,2;4,6;1,6;3;5,29
LMT Group AB;5566109301;201912;SEK;309;126 077;74 314;229 832;31,93;65,24;36,7;12,5;1,2;11,3;27,11
SCHENKER A/S;78941715;201912;DKK;200;24 382;13 764;53 194;-6,27;0;15,01;5,18;2,06;0;16,06
Borås Bil Personbilar AB;5560707183;201912;SEK;166;41 989;173 568;46 864;-6,09;-4,6;26;9,8;1,6;8,2;36,16
Skogssällskapets Förvaltning Aktiebolag;5561597039;201912;SEK;101;-16 694;59 310;30 443;45,46;20,24;-20,6;-4,5;0,3;-4,8;-16,11
Engströms Bil AB;5560760836;201912;SEK;264;22 714;-774;49 764;5,5;-0,38;38,3;10;1,1;9;31,52
Boxon Group AB;5561665000;201912;SEK;223;25 002;12 403;5 094;3,61;-1,76;3,8;1,5;1;0,4;3,3
BIL I NORD AS;983666280;201912;NOK;180;43 923;97 659;57 264;35,34;0;19,41;11,52;34,79;9,63;24,71
DACHSER DENMARK A/S;17169114;201912;DKK;200;62 075;57 923;251 512;6,77;0;24,82;15,25;1,26;0;25,98
TNT Sverige AB;5562177807;201905;SEK;355;50 299;-6 593;61 626;7,1;0,28;-1 211,7;-305,9;1,1;-306,9;61,09
Profura Industri AB;5562073360;201904;SEK;316;243 302;155 933;405 049;6,49;25,4;53,5;29,8;0,5;29,4;39,53
HORNSYLD KØBMANDSGAARD A/S;45520811;201912;DKK;100;23 636;317 864;120 983;2,59;0;3,9;3,74;0;0;11,27
Europeiska Motor AB;5564065448;202004;SEK;160;53 857;97 879;78 060;22,64;0,63;53;25,7;0,2;25,5;63,62
PANKAS A/S;20732318;201912;DKK;100;97 397;95 675;209 909;2,95;0;12,57;9,58;0,84;0;18,06
BJARNE NIELSEN HERNING A/S;31943140;201912;DKK;200;15 628;41 775;28 365;6,43;0;6,28;5,08;3,7;0;24,24
Aalborg Energi Holding A/S;37189170;201912;DKK;100;12 527;298 862;54 060;-9,15;0;1,63;0,62;2,8;0;1,16
Brose Sweden AB;5566497219;201912;SEK;187;28 420;149 243;199 383;3,8;23,84;11;6,3;1,9;4,4;13,05
OTRA NORGE AS;962218288;201912;NOK;146;34 137;68 357;39 008;2,9;0;25,77;8,6;22,8;7,79;37,71
Bilmånsson i Skåne AB;5562567965;201912;SEK;177;47 795;138 229;147 209;5,33;5,99;17,8;10,1;0,9;9,2;22,37
Agility AB;5560053877;201912;SEK;194;-9 832;27 287;34 687;4,29;5,43;-21,2;-5,8;0,2;-6;-20,19
GASA GROUP DENMARK A/S;25442024;201912;DKK;200;15 786;63 894;120 883;-13,29;0;7,9;3,4;1,28;0;3,32
Lindab Ventilation Aktiebolag;5560261587;201912;SEK;440;109 844;-7 446;7 452;9,06;7,84;220,4;42,9;0,8;42,1;448,85
TradeDoubler Aktiebolag;5565757423;201912;SEK;262;44 514;-54 548;-227 328;3,03;-2,6;-3,7;1,5;3,5;-2;3,29
Danish Crown Foods Jönköping AB;5567409908;201909;SEK;123;45 336;-45 934;29 969;2,04;0;11,6;3,4;0;3,4;18,81
Bilbolaget Norrbotten AB;5563477578;201912;SEK;220;25 110;201 682;63 978;-3,23;-1,79;24,4;6,1;1,1;5;24,71
Life Europe AB;5566859160;201912;SEK;396;81 914;29 924;-395 409;-0,18;7,9;-162,6;-4,6;1,9;-6,5;-21,43
Mercedes - Benz Försäljnings AB;5565353041;201912;SEK;157;30 143;20 415;37 309;9,25;1,95;30,7;6,8;0,4;6,4;32,25
Nåiden AB;5565453114;201904;SEK;255;55 912;110 339;389 348;58,9;15,91;27;11,1;0,6;10,5;8,38
HAVI LOGISTICS ApS;13788642;201912;DKK;100;7 939;9 431;9 049;4,57;0;50,76;4;12,04;0;48,49
Edsbyn Senab AB (publ);5567550081;201912;SEK;434;10 300;43 579;25 318;-7,54;-6,26;-7;-1,1;1,2;-2,3;-1,97
Nåiden Bygg Aktiebolag;5563264216;201904;SEK;256;48 440;22 741;42 517;41,05;16,36;106,7;15,1;0,4;14,7;101,62
Swegon Sverige AB;5590783931;201912;SEK;136;57 395;97 177;3 489;3,83;0;587,7;27,9;0;27,9;1 613,34
Lyko Group AB (publ);5569758229;201912;SEK;334;90 000;-10 800;-35 600;26,56;16,38;4;2,7;1,9;0,8;4,21
DANSAC A/S;34094810;201912;DKK;200;225 566;318 560;74 429;7,27;0;52,93;51,4;0;0;74,56
NBK AS;990358168;201912;NOK;120;74 014;340 537;107 739;12,28;4,35;14,38;12,78;33,16;10,31;18,76
Thage i Tollarp AB;5568563125;201908;SEK;407;52 522;56 456;107 712;0,39;-6,22;30,6;8,5;1,1;7,5;15,86
Quintus Technologies Holding AB;5567350078;201912;SEK;222;136 868;189 205;-254 171;56,07;11;298,6;22,4;3;19,4;52,06
Bonver AB;5563417731;201904;SEK;340;53 987;60 694;106 130;6,97;10,39;37,4;14,2;0,7;13,5;34,32
MACNAT Holding AB;5568815640;201912;SEK;284;46 725;-9 605;128 784;9,14;-0,35;29,1;9;0,9;8,1;20,72
BRO MÖBLER Aktiebolag;5561229682;202004;SEK;376;61 218;60 137;53 517;0,62;6,82;59,7;18,5;0;18,5;93,91
PRIME CARGO A/S;20601108;201903;DKK;200;-9 280;-13 512;41 826;117,74;0;-11,5;-2,07;0,9;0;-7,87
ISOLA HOLDING AS;813003252;201912;NOK;170;51 675;93 488;-7 793;10,33;0;-0,23;2,54;25,03;-0,79;4,64
Bring E-commerce & Logistics AB;5564203072;201912;SEK;476;34 741;49 858;62 769;4,15;11,74;29,2;11,1;0;11,1;29,23
Assemblin Ventilation AB;5567289177;201812;SEK;397;43 363;-66 974;23 446;55,78;26,43;82,4;7,1;0,1;6,9;83,78
TOYOTA BILIA AS;980648915;201912;NOK;268;54 006;-6 935;61 912;6,72;3,47;75,54;19,73;23,09;18,16;85,44
Zara Sverige Aktiebolag;5565698577;202001;SEK;401;80 732;-25 129;-28 735;5,82;1,26;52,2;14,1;2;12,1;58,04
Söderbergs Personbilar i Norrköping AB;5561509224;201912;SEK;214;20 137;107 233;55 065;-3,37;4,39;28,9;10,9;0,7;10,2;37,56
FORIA AB (publ);5560691684;201912;SEK;178;46 688;38 825;90 161;-3,12;2,3;11,9;4,1;0,8;3,3;6,89
Toveks Bil i Syd AB;5565041455;201912;SEK;184;42 195;78 862;69 651;36,67;15;35,1;9,6;0,5;9,1;33,68
CF PETERSEN & SØN A/S;10152879;201912;DKK;200;55 353;101 834;148 784;9,06;0;16,52;11,61;0,95;0;28,69
BAB bygg AB;5566089669;201912;SEK;300;10 676;16 934;45 629;19,37;-2,6;7,2;2,2;0,7;1,5;7,33
IKANO Bostadsproduktion AB;5566347711;201912;SEK;159;-23 628;109 866;108 330;-44,01;-12,64;-20,6;-8,3;0,8;-9,1;-19,59
Nordic Railway Construction Sverige AB;5565808846;201912;SEK;222;-129 363;160 809;77 698;-43,5;-10,12;-66,2;-34,2;0,5;-34,7;-177,84
PEDERSEN & NIELSEN AUTOMOBILFORRETNING A/S;14854738;201912;DKK;200;15 678;30 516;53 619;2,45;0;6,18;4,66;2,19;0;8,88
SENNHEISER COMMUNICATIONS A/S;19228746;201912;DKK;100;170 946;56 134;118 814;3,82;0;226,59;61,02;4,28;0;356,24
Eric Andersson Gruppen AB;5562873967;201912;SEK;273;33 576;151 939;272 406;-1,38;-16;6,4;3,9;1,1;2,8;6,87
AudioNord International A/S;39551640;202004;DKK;100;59 959;94 671;134 984;5,97;0;15,65;10,78;0,94;0;20,5
KNUT AXEL UGLAND INVEST AS;988891738;201912;NOK;354;57 725;405 145;-21 291;-13,02;0;-3,16;-3,53;58,19;-6,69;-4,56
J Bil AB;5563439487;201912;SEK;128;21 791;48 388;20 323;11,43;3,23;41,8;9,3;0,8;8,5;50,5
Sandvikens Stadshus AB;5560369091;201912;SEK;421;255 698;-295 678;982 671;-9,14;4,73;23,9;8;1,5;6,6;7,67
Boston Scientific Nordic AB;5563794139;201912;SEK;104;27 501;105 306;123 697;10,09;13,04;15,6;6,3;0,1;6,2;15,71
RebTel Owners AB;5566899539;201912;SEK;109;26 703;58 777;134 470;15,84;19,78;-3;-1,5;0,1;-1,5;-2,87
Rebtel Partners AB;5591512552;201912;SEK;109;27 961;-16 283;-35 079;0;0;45,8;-4,6;0,9;-5,6;40,38
Söderbergföretagen J AB;5562716182;201912;SEK;373;89 929;104 823;62 667;-5,19;-11,61;50,5;9,3;2;7,3;16,58
BIL-SERVICE PERSONBILER AS;975933601;201912;NOK;224;37 101;78 583;45 120;12,48;21,08;17,48;9,15;44,62;6,71;20,52
Gina Tricot AB;5565348843;201912;SEK;179;21 964;58 931;87 427;14,97;-6,28;-1,6;1;2,4;-1,4;1,35
ettfemsju själ AB;5566010905;201912;SEK;368;202 318;380 695;393 056;20,35;25,17;47;22,2;1;21,1;41,26
Mammen Mejerierne A/S;69980015;201912;DKK;200;49 409;38 990;183 613;11,27;0;8,67;5,61;1,07;0;8,71
Thage i Skåne Aktiebolag;5560659145;201908;SEK;315;45 128;96 076;86 424;-1,01;-5,97;36,6;13,2;0,1;13,1;43,07
BSH HVIDEVARER A/S;20173173;201912;DKK;100;26 058;118 900;72 176;1,3;0;20,22;10,36;1,6;0;33,41
OEM Automatic Aktiebolag;5561871012;201912;SEK;174;155 968;48 368;43 670;8,16;5,45;290;43,6;0,2;43,4;335,53
Epiroc Sweden AB;5561001453;201912;SEK;168;63 872;41 615;31 637;19,77;7,01;114,2;15,3;0,4;14,9;116,57
BOHUS HOLDING AS;992618175;201912;NOK;132;48 456;22 296;51 626;12,73;0;17,72;8,53;30,81;5,52;23,51
EPLEHUSET NORGE AS;986498192;201912;NOK;312;12 208;15 085;16 774;3,78;0;37,34;5,58;14,27;5,29;39,07
Nordiska Motor Förvaltnings AB;5563135614;201912;SEK;243;54 358;75 041;102 228;17,59;29,95;47,6;12,2;2,1;10,1;18,8
Kuusakoski Sverige Aktiebolag;5565692414;201912;SEK;165;12 145;102 668;87 261;-12,51;5,77;-10,3;-3,5;0,8;-4,3;-8,75
ASSA ABLOY Entrance Systems Sweden AB;5560049057;201912;SEK;406;40 938;119 316;45 083;12,56;18,02;82,7;14,9;1,7;13,2;88,42
BENTELER Automotive Tønder A/S;32571190;201912;DKK;200;24 264;-26 746;72 856;-1,68;0;10,34;2,29;1,09;0;6,88
Nordemans Bil Aktiebolag;5561138297;201912;SEK;140;16 727;-11 784;49 840;37,13;-3,45;8,3;1,9;0,8;1,1;4,65
OP Gruppen AB;5562181379;201910;SEK;292;44 802;130 870;88 842;11,01;2,82;2,9;3,1;3,2;-0,1;4,24
Höglandets Invest Aktiebolag;5560871732;201912;SEK;102;66 018;65 844;304 976;11,01;7,37;17,5;9,7;0,9;8,8;11,89
Axima AB;5566659487;201910;SEK;167;56 035;242 193;144 346;11,66;1,83;29;9,5;0,7;8,8;15,62
Rekab Entreprenad AB;5565207007;201912;SEK;163;63 655;140 333;137 465;2,6;-9,44;47;22,6;0;22,6;46,44
EuroFlorist Intressenter AB (publ);5567345961;201912;SEK;163;51 132;-25 107;74 467;3,53;-12,83;2,8;5,1;6,8;-1,7;6,37
The Nuance Group (Sverige) AB;5566137757;201812;SEK;225;34 990;142 568;172 995;-1,21;-1,32;13,8;7,5;1,3;6,2;16,03
GEBR. HEINEMANN RETAIL ApS;29605556;201912;DKK;200;46 331;127 159;188 159;1,19;0;19,76;14,94;0,41;0;20,05
Alwex Transport AB;5560857889;201912;SEK;178;-3 825;38 084;46 849;-8,84;2,89;-4,6;-0,8;1;-1,8;-14,49
Sortera Holding AB;5590580915;201912;SEK;336;250 382;-48 718;-28 721;12,39;16,26;1 345;7,9;3,4;4,5;9,12
SOLID GRUPPEN AS;989189891;201912;NOK;424;-19 475;246 536;-16 077;-20,46;-9,98;-6,26;-4,09;33,4;-4,39;-6,89
Norrlands Bil Sverige AB;5561111815;201912;SEK;197;23 105;69 238;23 325;6,7;-1,99;60,2;18,5;1,6;16,9;55,33
Sony Mobile Communications International AB;5566163324;201903;SEK;354;85 305;226 708;126 045;-8,38;-22,88;64,2;20,7;1,7;19;66,08
Panduro Förvaltning AB;5565703237;201904;SEK;481;-53 847;91 907;43 265;0;0;-52,9;-22,1;2,1;-24,2;-36,37
Panduro Trading Aktiebolag;5562022938;201904;SEK;481;-48 194;110 248;182 357;0;0;-40,6;-19,5;2;-21,6;-29,86
Systemair Sverige AB;5590001516;201904;SEK;413;115 562;-33 895;50 667;-5,31;-0,48;128;24,7;1,2;23,6;199,91
MECA Sweden AB;5563565612;201912;SEK;271;79 815;-4 470;22 387;7,23;-15,58;233,4;18,6;0,7;17,9;291,24
Gina Tricot Försäljnings AB;5569945818;201912;SEK;314;38 744;-42 522;824;0,34;-15,36;2 052,2;10,7;0,8;9,9;2 227,6
Energi Fyn Energihandel A/S;27116469;201912;DKK;100;31 771;127 715;142 588;14,69;0;24,79;10,77;1,48;0;26,83
Gnotec Sweden AB;5562429448;201912;SEK;324;66 637;16 003;67 335;6,56;20,45;35,5;11,8;1,3;10,4;46,94
Hedin Mölndal Bil AB;5562813617;201912;SEK;123;6 070;-13 078;46 959;12,34;7,89;-25,8;-2;2,9;-5;-12,13
Nordward Seafood Holding AB;5591451702;201912;SEK;291;18 374;-183 206;-54 871;226,5;148,72;-23,7;-5,2;4,3;-9,5;-7,12
Trivselhus Aktiebolag;5564022977;201912;SEK;197;-31 667;25 947;15 133;-14,99;-13,22;-67,3;-16,7;2,2;-18,9;-60,17
Aimpoint Aktiebolag;5562459999;201912;SEK;208;277 676;135 629;214 009;50,68;25,3;127,1;74;1;73;127,74
JORTON A/S;26207207;201912;DKK;200;33 602;39 188;106 751;8,63;0;14,73;6,62;2,19;0;26,01
A. Staffare Aktiebolag;5562225713;201912;SEK;204;42 206;186 862;166 940;26,21;17,24;19,3;7,2;1,2;6;11,9
MCKINSEY & COMPANY DENMARK P/S;32284671;201912;DKK;100;-27 133;31 843;-60 679;17,22;0;0;-7,24;11,71;0;-93,97
Sirius Rederi AB;5564722311;201912;SEK;255;120 208;3 990;223 030;17,78;53,61;9,3;7,2;7,1;0,1;9,14
Concentus i Kalix Aktiebolag;5562216977;201912;SEK;455;178 476;15 155;363 461;8,85;-3,81;13,3;4,7;2;2,7;6,95
